,Item,Price,Rating,No of Ratings,Link
0,"Infinix Smart 6 Plus 4G LTE Network 32GB Storage 2GB RAM Dual SIM 6.6"" 5000mAh 10W Fast Charge Fingerprint 8MP Dual Camera Smart Phones","KSh 9,999",4,50,https://www.kilimall.co.ke/new/goods/17658872-Infinix-Smart-6-Plus-4G-LTE-Network-32GB-Storage-2GB-RAM-Dual-SIM-66-5000mAh-10W-Fast-Charge-Fingerprint-8MP-Dual-Camera-Smart-Phones
1,"Refurbished OPPO A57 F1 32GB+3GB 5.2 "" 13MP+16MP oppoa57 Fingerprint unlock 4G LTE Mobile Phones Android Octa Core IPS OPPOA57 A57F Refurbished SmartPhones","KSh 6,299",4,172,https://www.kilimall.co.ke/new/goods/17671452-Refurbished-OPPO-A57-F1-32GB3GB-52--13MP16MP-oppoa57-Fingerprint-unlock-4G-LTE-Mobile-Phones-Android-Octa-Core-IPS-OPPOA57-A57F-Refurbished-SmartPhones
2,Refurbished Oppo A83 4GB RAM+ 64GB Smart Phone - 4G LTE Dual SIM 5.7-inch Display - Face Unlock,"KSh 7,099",4,8,https://www.kilimall.co.ke/new/goods/18753042-Refurbished--Oppo-A83-4GB-RAM-64GB-Smart-Phone--4G-LTE-Dual-SIM-57inch-Display--Face-Unlock
3,Refurbished OPPO Reno 256GB+6GB 16MP+48MP 6.4 Inch Smartphone Face Unlock Support 2G/3G/4G Network Dual SIM Phones,"KSh 14,888",4,219,https://www.kilimall.co.ke/new/goods/17851497-Refurbished-OPPO-Reno-256GB6GB--16MP48MP-64-Inch-Smartphone-Face-Unlock-Support-2G3G4G-Network-Dual-SIM-Phones
4,Refurbished oppo a37 Smartphone 100% original 16GB + 2GB Smartphone 5.0 mp +8.0 mp 2630 mAh 1920X1080 Single Card Smart Phone,"KSh 4,699",4,276,https://www.kilimall.co.ke/new/goods/17624569-Refurbished--oppo--a37---Smartphone--100-original-16GB--2GB-Smartphone-50-mp-80-mp--2630-mAh-1920X1080---Single-Card-Smart-Phone
5,Refurbished OPPO Reno 2z 128GB+8GB 6.5 inch 48MP+16MP Camera Face Unlock Dual SIM Smart Phones,"KSh 11,450",4,79,https://www.kilimall.co.ke/new/goods/18391052-Refurbished-OPPO-Reno-2z-128GB8GB-65-inch-48MP16MP-Camera-Face-Unlock-Dual-SIM-Smart-Phones
6,"Refurbished OPPO R9 oppor9 (F1s, F1, f1plus) - 5.5'', 64GB + 4GB, 3350mAh 16mp + 16mp, 4G dual sim Original OLED smart phones fashion phone fingerprint unlock","KSh 7,599",4,253,https://www.kilimall.co.ke/new/goods/17138477-Refurbished-OPPO-R9-oppor9-F1s-F1-f1plus--55-64GB--4GB-3350mAh-16mp--16mp-4G-dual-sim-Original--OLED-smart-phones-fashion-phone-fingerprint-unlock
7,Refurbished OPPO A37F oppoa37 smartphone 5-inch screen 2GB + 16gb 2g / 3G / 4g / lte dual card 2630mah lockless phones 8MP+5MP SmartPhones,"KSh 4,899",4,95,https://www.kilimall.co.ke/new/goods/17671386-Refurbished-OPPO-A37F-oppoa37-smartphone-5inch-screen-2GB--16gb-2g--3G--4g--lte-dual-card-2630mah-lockless-phones-8MP5MP-SmartPhones
8,Refurbished OPPO A57 F1 Smartphone 32+3GB 5.2'' Smartphones 16mp+13MP 2900mAh witDual h fingerprint unlocking Gold SIM To wait alone,"KSh 5,699",4,215,https://www.kilimall.co.ke/new/goods/17646664-Refurbished--OPPO---A57-F1----Smartphone---323GB-52-Smartphones-16mp13MP-2900mAh-witDual-h-fingerprint-unlocking-Gold-SIM--To-wait-alone
9,"SIMI S115 Feature Phone 1.77inch,32MB RAM + 32MB Storage,Bar Phone Dual SIM Card,1050mAh Large Capacity,Support MP3,MP4,LED Torch,FM Radio","KSh 1,049",4,8,https://www.kilimall.co.ke/new/goods/18845100-SIMI-S115-Feature-Phone-177inch32MB-RAM--32MB-StorageBar-Phone-Dual-SIM-Card1050mAh-Large-CapacitySupport-MP3MP4LED-TorchFM-Radio
10,"Refurbished oppo A5 Smart phone Android LTE mobile phone, 64g + 4 , 6.2-inch screen, front 8mp, rear 13mp + 2MP camera, face unlock, 4230mah battery, 8-core dual card smart phone","KSh 7,399",4,214,https://www.kilimall.co.ke/new/goods/18201606-Refurbished-oppo-A5--Smart-phone-Android-LTE-mobile-phone-64g--4--62inch-screen-front-8mp-rear-13mp--2MP-camera-face-unlock-4230mah-battery-8core-dual-card-smart-phone
11,"Official TECNO CAMON 19 Dual SIM 128GB 4GB RAM G85 CPU Dual 4G LTE 18W Typc-C Charge 64MP+16MP Camera 6.8"" 5000 mAh smart mobile phones","KSh 22,599",4,123,https://www.kilimall.co.ke/new/goods/17968573-Official-TECNO-CAMON-19-Dual-SIM-128GB-4GB-RAM-G85-CPU-Dual-4G-LTE-18W-TypcC-Charge-64MP16MP-Camera-68-5000-mAh-smart-mobile-phones
12,Nokia 6310 2021 Smartphone 2.8 Inch Screen Dual SIM Phone 2G Call Rear Camera 0.5MP Shock Resistant and Durable Super Strong Signal Long Battery Backup Phone No,"KSh 2,999",4,9,https://www.kilimall.co.ke/new/goods/18767912-Nokia-6310-2021-Smartphone-28-Inch-Screen-Dual-SIM-Phone-2G-Call-Rear-Camera-05MP-Shock-Resistant-and-Durable-Super-Strong-Signal-Long-Battery-Backup-Phone-No
13,Refurbished phones oppo f1 A57 3+32GB Dual SIM smartphone Google support 3GB+32GB gifts 3+32gb,"KSh 5,999",4,370,https://www.kilimall.co.ke/new/goods/16847742-Refurbished-phones-oppo--f1-A57-332GB-Dual-SIM-smartphone-Google-support-3GB32GB-gifts-332gb
14,Refurbished Huawei mate8 Smartphone 64gb+4gb 16mp+8mp 4000mAh 6-inch screen,"KSh 7,499",4,88,https://www.kilimall.co.ke/new/goods/17659552-Refurbished--Huawei--mate8----Smartphone---64gb4gb-16mp8mp--4000mAh--6inch-screen
15,Refurbished Phone Samsung Galaxy A7 2015 Smart Phone Dual Sim New Battery 5.5'' 1080X1920 2GB+32GB 5MP+13MP 2G/3G/4G 2600mAh Smartphone,"KSh 6,999",5,3,https://www.kilimall.co.ke/new/goods/18782812-Refurbished-Phone-Samsung-Galaxy-A7-2015-Smart-Phone-Dual-Sim-New-Battery-55-1080X1920-2GB32GB-5MP13MP-2G3G4G-2600mAh-Smartphone
16,"Refurbished OPPO A59S smart phone 4GB+32GB 5.2-inch smart phone 16MP+13MP 3075mA, with fingerprint unlock gold, double card single standby","KSh 6,444",4,22,https://www.kilimall.co.ke/new/goods/18560272-Refurbished-OPPO-A59S-smart-phone-4GB32GB-52inch-smart-phone-16MP13MP-3075mA-with-fingerprint-unlock-gold-double-card-single-standby
17,Refurbished oppo R9 F1plus smart phone 4GB + 64gb 16mp+8mp 3010mAh dual card lockless,"KSh 7,222",4,24,https://www.kilimall.co.ke/new/goods/18493614-Refurbished--oppo--R9---F1plus--smart-phone----4GB--64gb-16mp8mp-3010mAh-dual-card--lockless
18,"SIMI S102 1.77inch,white color lady phone, 32MB RAM + 32MB Storage,Bar Phone Dual SIM Card,1050mAh Large Capacity,Support MP3,MP4,LED Torch,FM Radio","KSh 1,299",5,4,https://www.kilimall.co.ke/new/goods/18845122-SIMI-S102--177inchwhite-color-lady-phone-32MB-RAM--32MB-StorageBar-Phone-Dual-SIM-Card1050mAh-Large-CapacitySupport-MP3MP4LED-TorchFM-Radio
19,"Samsung Galaxy A03S 6.5"" 3GB+32GB (Dual Sim) Triple Camera Side Fingerprint Unlock 5000mAh Type-C 4G LTE Smart Phone","KSh 13,999",4,89,https://www.kilimall.co.ke/new/goods/17047301-Samsung-Galaxy-A03S-65-3GB32GB-Dual-Sim-Triple-Camera-Side-Fingerprint-Unlock-5000mAh-TypeC-4G-LTE-Smart-Phone
20,Refurbished Samsung C3322 Dual SIM GSM Unlocked Phone 2.2 Inch 2MP Lens FM Direct Key Phone for Seniors Shock Resistant Durable Super Strong Signal Durable Batt,"KSh 3,199",5,4,https://www.kilimall.co.ke/new/goods/18738566-Refurbished-Samsung-C3322-Dual-SIM-GSM-Unlocked-Phone-22-Inch-2MP-Lens-FM-Direct-Key-Phone-for-Seniors-Shock-Resistant-Durable-Super-Strong-Signal-Durable-Batt
21,Refurbished Huawei Honor 6x Smart phone 4gb+64gb 14mp+8mp 3340mAh 5.5-inch gold dual card mobile phone,"KSh 7,222",4,67,https://www.kilimall.co.ke/new/goods/17933243-Refurbished---Huawei-Honor--6x---Smart-phone--4gb64gb-14mp8mp-3340mAh--55inch---gold---dual-card-mobile-phone
22,"Refurbished Samsung Galaxy A51 5G 128+6GB 4500mAh 6.5"" 48MP + 32MP 2G/3G/4G/5G LTE Android single SIM Smartphones Waterproof google Smart Phones","KSh 21,560",4,21,https://www.kilimall.co.ke/new/goods/18452105-Refurbished-Samsung-Galaxy-A51-5G-1286GB-4500mAh-65-48MP--32MP-2G3G4G5G-LTE-Android-single-SIM-Smartphones-Waterproof-google-Smart-Phones
23,Refurbished Samsung Galaxy S7 Edge Smart Phone 5.5'' 4GB+32GB 5MP+12MP 4G LTE Dual SIM 3600mAh Unlocked phones,"KSh 7,199",4,98,https://www.kilimall.co.ke/new/goods/17564218-Refurbished-Samsung-Galaxy-S7-Edge--Smart-Phone-55-4GB32GB-5MP12MP-4G-LTE-Dual-SIM--3600mAh-Unlocked-phones
24,"KGTEL SOLO 10 32GB Storage 2GB RAM 5000mAh Dual SIM 8MP+8MP Camera 6.6"" Screen Fingerprint Smart Phones","KSh 8,199",4,19,https://www.kilimall.co.ke/new/goods/18487963-KGTEL-SOLO-10-32GB-Storage-2GB-RAM-5000mAh-Dual-SIM-8MP8MP-Camera-66-Screen-Fingerprint-Smart-Phones
25,Refurbished oppo a37 phone 100%Original 16GB 2GB Mobile Phone 1920X1080,"KSh 4,500",4,357,https://www.kilimall.co.ke/new/goods/16438652-Refurbished-oppo-a37-phone--100Original-16GB-2GB--Mobile-Phone-1920X1080
26,Refurbished oppo a37 phone 100%Original 16GB 2GB Mobile Phone 1920X1080 2+16GB,"KSh 4,600",4,24,https://www.kilimall.co.ke/new/goods/18602174-Refurbished-oppo-a37-phone-100Original-16GB-2GB-Mobile-Phone-1920X1080-216GB
27,"Refurbished OPPO A57 F1 32GB+3GB 5.2 "" 13MP+16MP oppoa57 Fingerprint unlock 4G LTE Mobile Phones Android Octa Core IPS OPPOA57 A57F Refurbished SmartPhones","KSh 6,199",4,4,https://www.kilimall.co.ke/new/goods/18391648-Refurbished-OPPO-A57-F1-32GB3GB-52--13MP16MP-oppoa57-Fingerprint-unlock-4G-LTE-Mobile-Phones-Android-Octa-Core-IPS-OPPOA57-A57F-Refurbished-SmartPhones
28,"Nokia 225 2020 button mobile phone dual-card GSM super signal, long-lasting battery, camera function mobile phone, anti-fall and durable spare mobile phone","KSh 2,999",4,4,https://www.kilimall.co.ke/new/goods/18738629-Nokia-225-2020-button-mobile-phone-dualcard-GSM-super-signal-longlasting-battery-camera-function-mobile-phone-antifall-and-durable-spare-mobile-phone
29,"[Today Only] Samsung Galaxy A04e Mobile Phone 6.5"" HD+ Display Dual SIM 32GB+3GB Unlocked International Version 5000mAh Battery Smart Phones","KSh 12,599",5,6,https://www.kilimall.co.ke/new/goods/18627953-Today-Only-Samsung-Galaxy-A04e-Mobile-Phone-65-HD-Display-Dual-SIM-32GB3GB-Unlocked-International-Version-5000mAh-Battery-Smart-Phones
30,Refurbished Samsung Galaxy S7 Edge G9350 5.5'' Dual Nano SIM 4GB+32GB 5MP+12MP 2G/3G/4G LTE 3600mAh Screen lines or dots Unlocked phones,"KSh 6,999",4,49,https://www.kilimall.co.ke/new/goods/18594962-Refurbished-Samsung-Galaxy-S7-Edge-G9350-55-Dual-Nano-SIM-4GB32GB-5MP12MP-2G3G4G-LTE-3600mAh-Screen-lines-or-dots-Unlocked-phones
31,Xiaomi Redmi 10C 6.71'' 128GB+4GB Snapdragon 680 CPU 50MP Camera 5000mAh 4G Dual SIM Smart Phones,"KSh 19,599",4,23,https://www.kilimall.co.ke/new/goods/18486706-Xiaomi-Redmi-10C-671-128GB4GB-Snapdragon-680-CPU-50MP-Camera-5000mAh-4G-Dual-SIM-Smart-Phones
32,SIMI S300P 1.77inch Feature Phone Bar Phone Dual SIM 1050mAh Battery Capacity ，Extended Memory，Strong Flashlight，Video，Games ，Camera FM Radio Large Speakers ，Loud Volu,"KSh 1,099",4,21,https://www.kilimall.co.ke/new/goods/18659525-SIMI-S300P-177inch-Feature-Phone-Bar-Phone-Dual-SIM-1050mAh-Battery-Capacity-Extended-MemoryStrong-FlashlightVideoGames-Camera-FM-Radio--Large-Speakers-Loud-Volu
33,Refurbished Phones OPPO A83 64GB+4GB 5.7 inches 2G/3G/4G LTE Dual SIM 3180mAh 13MP+8MP Facial Unlocked Full Screen Facial Recognition AI Smart Beauty,"KSh 6,888",3,18,https://www.kilimall.co.ke/new/goods/18752113-Refurbished-Phones-OPPO-A83-64GB4GB-57-inches-2G3G4G-LTE-Dual-SIM-3180mAh-13MP8MP-Facial-Unlocked-Full-Screen-Facial-Recognition--AI-Smart-Beauty
34,Refurbished Samsung Galaxy S7 Active G891A Smart Phone 5.1''1440X2560 4GB+32GB 5MP+12MP 2G/3G/4G 4000mAh fingerprint Smartphone,"KSh 6,699",4,35,https://www.kilimall.co.ke/new/goods/17673293-Refurbished-Samsung-Galaxy-S7-Active-G891A-Smart-Phone-511440X2560-4GB32GB-5MP12MP-2G3G4G--4000mAh-fingerprint-Smartphone
35,Refurbished oppo Reno smart phone 256GB/128GB+6GB face unlock 6.4-inch 48MP+16MP+5MP 2G / 3G / 4G /LTE DUAL SIM,"KSh 10,999",4,68,https://www.kilimall.co.ke/new/goods/18454183-Refurbished-oppo-Reno-smart-phone-256GB128GB6GB-face-unlock--64inch-48MP16MP5MP-2G--3G--4G-LTE-DUAL-SIM
36,Refurbished OPPO A59s Smart Phone 5.5 inches screen 3075mAh battery 16MP+13MP cameras 4GB ram +32GB rom 2G/3G/4G LTE Dual SIM card Unlocked phones,"KSh 6,179",3,5,https://www.kilimall.co.ke/new/goods/18546509-Refurbished-OPPO-A59s-Smart-Phone-55-inches-screen-3075mAh-battery-16MP13MP-cameras-4GB-ram-32GB-rom-2G3G4G-LTE-Dual-SIM-card-Unlocked-phones
37,"Refurbished Samsung Galaxy Note 10 single sim 8GB+256GB 6.3"" Snapdragon 855 Original Mobile Phone Samsung Note10 4G phone","KSh 19,999",4,20,https://www.kilimall.co.ke/new/goods/18480096-Refurbished-Samsung-Galaxy-Note-10-single-sim-8GB256GB-63-Snapdragon-855-Original-Mobile-Phone-Samsung-Note10-4G-phone
38,Refurbished huawei mate8 mate 8 Smart phone 64+4GB Dual SIM Gold Get Limited Gift,"KSh 7,999",4,521,https://www.kilimall.co.ke/new/goods/13563579-Refurbished-huawei--mate8-mate-8-Smart-phone-644GB-Dual-SIM-Gold-Get-Limited-Gift
39,Refurbished phones OPPO A57 3+32GB Dual SIM smartphone Google support UMTS & LTE 3GB+32GB Gold gifts,"KSh 5,399",4,239,https://www.kilimall.co.ke/new/goods/17871943-Refurbished-phones-OPPO-A57-332GB-Dual-SIM-smartphone-Google-support-UMTS--LTE-3GB32GB-Gold-gifts
